from_isco,to_isco,missing_skill_uri,missing_skill_label
2221,5120,http://data.europa.eu/esco/skill/c87c5366-c9a9-4205-8333-4938a9c384ad,"maintain a safe, hygienic and secure working environment"
2221,5120,http://data.europa.eu/esco/skill/e1f5c539-7c93-49ee-917d-a24e0d887686,control of expenses
2221,5120,http://data.europa.eu/esco/skill/e265e4e2-f031-4012-a7bf-54cac48fb846,maintain kitchen equipment at correct temperature
2221,5120,http://data.europa.eu/esco/skill/f3934441-4bff-4076-9945-e6c51a01c467,use cooking techniques
2221,5141,http://data.europa.eu/esco/skill/0b6c4174-a862-480d-8d55-44f7cf7ac365,style hair
2221,5141,http://data.europa.eu/esco/skill/156f8c5b-894a-4ccc-a70e-37a2726f3f00,work ergonomically
2221,5141,http://data.europa.eu/esco/skill/26db1e50-aa8f-407c-87b9-87a48dd4d29a,hair colouring
2221,5141,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c,maintain equipment
2221,5141,http://data.europa.eu/esco/skill/5d715a3d-ddb1-4906-a599-e9737f4ca491,advise on hair style
2221,5141,http://data.europa.eu/esco/skill/5f27371a-1cf3-4a81-9faf-12fab80cb3e1,use equipment for hair care
2221,5141,http://data.europa.eu/esco/skill/5fce4ae7-bbd6-4d91-9fd9-d7d6b0e6c3da,wash hair
2221,5141,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs
2221,5141,http://data.europa.eu/esco/skill/75dfe1ee-5935-42ce-b820-697f827825c3,maintain customer service
2221,5141,http://data.europa.eu/esco/skill/8330c86e-63cf-4be6-849f-4f77628cc5c5,satisfy customers
2221,5141,http://data.europa.eu/esco/skill/9f76644e-45ce-424e-91dc-064cb166b323,curl hair
2221,5141,http://data.europa.eu/esco/skill/a9dc530e-0e1f-4eef-a739-47bdfe11930e,show social competences
2221,5141,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments
2221,5141,http://data.europa.eu/esco/skill/c76d86b3-9860-4bc0-996d-cc724c669bcf,hair
2221,5141,http://data.europa.eu/esco/skill/dbc20527-0852-4dde-a2e9-d25d8356115f,dye hair
2221,5141,http://data.europa.eu/esco/skill/e4bf6574-d0d0-4314-a4e0-d54a549e41d8,stay up-to-date with fashion trends in hair style
2221,5141,http://data.europa.eu/esco/skill/efb0eff5-ca8d-4638-b119-0c14a953f77c,hair products
2221,5221,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee customer satisfaction
