uri,title,isco_code,description,num_essential_skills,num_optional_skills
http://data.europa.eu/esco/occupation/2aa7fbbb-f06e-4454-8ff8-2d799e86ba51,textile machinery technician,7233,"Textile machinery technicians set up, maintain, inspect and repair mechanical and computer-controlled machinery used in textile manufacturing such as weaving, dyeing and finishing machines. 
 ",25,37
http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9,automotive battery technician,7412,"Automotive battery technicians assemble, install, inspect, maintain and repair batteries in motor vehicles. They use electrical test equipment to confirm good working condition after installation. They evaluate batteries to determine the nature of power problems. They also prepare old batteries for disposal.",9,12
http://data.europa.eu/esco/occupation/9422c30d-c5ef-4fcc-a493-d67ee42189c0,marine electrician,7412,"Marine electricians install, maintain and repair electrical and electronic systems in vessels such as air conditioning systems, lamps, radios, heating systems, batteries, electrical wiring and alternators. They use diagnostic testing equipment to inspect vessels and find faults. To do repair work, they use hand tools and specialised electrical instruments and machines.",18,18
http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972,computer hardware repair technician,7422,"Computer hardware repair technicians install, examine, test and repair computer hardware and peripheral components. They test computers' functionality, identify the problems and replace damaged components and parts.",18,20
http://data.europa.eu/esco/occupation/4542ff68-f809-4ba1-857c-fd26d0914eaa,dewatering technician,8111,"Dewatering technicians install and operate pumps, spares, pipe ranges, and vacuum dewatering systems to collect and remove liquids and chemicals.",8,9
http://data.europa.eu/esco/occupation/2a7d4b37-e831-4e20-827c-0682fe7e370e,pipeline pump operator,8113,"Pipeline pump operators tend pump equipment and systems to transfer liquids and substances (e.g. such as chemical solutions, crude oil, gases, and others) from one point to the next. They operate hoses, pumps, and other equipment according to the good to be transferred. They ensure smooth circulation and flow of the goods in the pipelines.",18,10
http://data.europa.eu/esco/occupation/8d3fd879-986d-42e7-bf67-c3c415592fe3,precast moulder,8114,"Precast moulders handcast decorative and structural concrete building products such as fireplace units, blocks or coloured tiles. They use a portable concrete-mixing machine.",10,10
http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,slate mixer,8114,Slate mixers operate and maintain slate mixing machines that mix multicolored slate granules used for asphalt-coated roofing felt surfacing.,8,4
http://data.europa.eu/esco/occupation/b322bb4c-bbef-45c2-bd7e-00a97c3ab268,rustproofer,8122,"Rustproofers use the proper equipment and machinery to provide metal workpieces with a hard, durable finishing coat, composed of specific chemical formulas, that prevents or delays iron and steel pieces from rusting and protects against corrosion.",15,30
http://data.europa.eu/esco/occupation/782ced63-e234-42a4-a7bd-a2d9a12ee61a,capsule filling machine operator,8131,Capsule filling machine operators control the filling of gelatine capsules with the specific medicinal preparations.,14,6
http://data.europa.eu/esco/occupation/daa6197d-dba6-49b5-8223-b31b7a126e4e,wax bleacher,8131,"Wax bleachers operate and maintain filter presses and tanks, used in wax bleaching, for candle production processes.",12,7
http://data.europa.eu/esco/occupation/7180a7be-68cd-4636-8c12-706722ad8862,photographic developer,8132,"Photographic developers use chemicals, instruments, and darkroom photographic techniques in specialised rooms in order to develop photographic films into visible images.",14,18
http://data.europa.eu/esco/occupation/b0c6f284-f3ed-4820-a62e-4e87869f5a3e,rubber products machine operator,8141,"Rubber products machine operators operate machines which knead, blend, calender, mould, extrude and cure rubber products from natural and synthetic rubber. They measure the ingredients for mixing and load them into the machine. Rubber products machine operators monitor and control the tempature, pressure and speed during production.",11,26
http://data.europa.eu/esco/occupation/65b88636-2ebb-4049-b509-2f6da5d6ea1c,envelope maker,8143,"Envelope makers tend a machine that takes in paper and executes the steps to creat envelopes: cut and fold the paper and glue it, then apply a weaker food-grade glue to the flap of the envelope for the consumer to seal it.",15,19
http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,spinning textile technician,8151,Spinning textile technicians perform operations related to setting up spinning processes.,5,5
http://data.europa.eu/esco/occupation/4c86c7c1-0839-456e-856f-65396d1f39d7,winding machine operator,8151,"Winding machine operators tend machines that wrap strings, cords, yarns, ropes, threads onto reels, bobbins, or spools. They handle materials, prepare them for processing, and use winding machines for the purpose. They also perform routine maintenance of the machinery.",14,17
http://data.europa.eu/esco/occupation/15502187-a1da-407a-843b-ce991d5f65fe,braiding machine operator,8159,"Braiding machine operators supervise the braiding process of a group of machines, monitoring fabric quality and braiding conditions. They inspect braiding machines after set up, start up, and during production to ensure the product being braided is meeting specs and quality standards.",12,3
http://data.europa.eu/esco/occupation/7dbb116c-a4e7-41e8-9f28-c8a738d93e28,beverage filtration technician,8160,"Beverage filtration technicians operate machines that clarify beverages prior to filtering. For the purpose, they transfer fermented beverages from settling casks into clarifying tanks and spreads chemicals over the surface of beverages to aid their clarification. Then, they pump beverages to transfer them to filtering tanks.",19,20
http://data.europa.eu/esco/occupation/5520bfd0-49d3-47e5-abe0-d72354711bc0,cacao beans cleaner,8160,"Cacao beans cleaners operate machines for the removal of foreign materials such as stones, string and dirt from cacao beans. They operate silos as to move beans from there to hoppers. They direct the cleaned beans to specified silos. They operate air-cleaning system in order to remove further foreign materials.",14,13
http://data.europa.eu/esco/occupation/0fdc5efb-d38e-4019-bede-0ce55404549d,candy machine operator,8160,"Candy machine operators tend machines that mix candy ingredients. They tend machines that weigh, measure, and mix ingredients. They form soft candies by spreading candy onto cooling and warming slabs cutting them manually or mechanically. They cast candies in moulds or by machine that extrudes candy. ",18,17
http://data.europa.eu/esco/occupation/2a2da883-8af5-4b98-832e-00e6681b22c3,chilling operator,8160,"Chilling operators perform various processes and tend specific machines for manufacturing prepared meals and dishes. They apply chilling, sealing, and freezing methods to foodstuffs for non-immediate consumption.",22,9
